workers_qtd,real_time_seconds
1,14.536158800125122
2,7.77057147026062
3,5.58651065826416
4,4.766634225845337
5,4.264994859695435
6,3.9924161434173584
7,3.521665096282959
8,3.4345500469207764
9,3.453152894973755
10,3.214142322540283
11,2.9826557636260986
12,2.9138669967651367
13,2.8831398487091064
14,2.8739593029022217
15,2.842625379562378
16,2.968456983566284
17,2.920883893966675
18,2.945331335067749
19,3.0102531909942627
20,2.9980039596557617
